"franchise_id","franchise_name","user_name","user_id","co_owners","season"
"1","Toronto Hogs","ZJR","721099627511762944",NA,"2021"
"2","Bikini Bottom Stars","JGBillions","722626997460733952",NA,"2021"
"3","Newfoundland Blowers","bdewees","722632143850766208",NA,"2021"
"4","Thunder Bay Mustangs ","SchueyG","724320234672025600",NA,"2021"
"5","Winnipeg Wankers ","RyanBusser","724320706204078080",NA,"2021"
"6","Choccolocco Railfans","Srw74","720358712962772992",NA,"2021"
"7","Pokémon Omega Judge Judy","jche","724398438275444608",NA,"2021"
"8","Iqaluit Trout","fretbortner","724464389268324352",NA,"2021"
"9","Saskatoon Squirrels","tkern1221","724464913615015808",NA,"2021"
"10","Calgary Cocks","unknownSN16","724693368768159744",NA,"2021"
"11","Montreal Generals","LukeLis3335","724694216185335808",NA,"2021"
"12","Mississauga Mastodons","Gibby2224","725029254722572160",NA,"2021"
"13","Vancouver Mounties","connorgriffiths","725034040587026432",NA,"2021"
"14","Unsolicited Dak Pics","LuluMcSnu","725076157854244864",NA,"2021"
"1","Toronto Hogs","Clovena","721099627511762944",NA,"2022"
"2","Bikini Bottom Stars","JGBillions","722626997460733952",NA,"2022"
"3","Newfoundland Blowers","bdewees","722632143850766208",NA,"2022"
"4","Thunder Bay Mustangs","SchueyG","724320234672025600",NA,"2022"
"5","Winnipeg Wranglers","RyanBusser","724320706204078080",NA,"2022"
"6","Choccolocco Railfans","Srw74","720358712962772992",NA,"2022"
"7","Pokémon Omega Judge Judy","jche","724398438275444608",NA,"2022"
"8","Iqaluit Trout","fretbortner","724464389268324352",NA,"2022"
"9","Saskatoon Squirrels","tkern1221","724464913615015808",NA,"2022"
"10","Calgary Cocks","unknownSN16","724693368768159744",NA,"2022"
"11","Montreal Generals","LukeLis3335","724694216185335808",NA,"2022"
"12","Mississauga Mastodons","Gibby2224","725029254722572160",NA,"2022"
"13","Vancouver Mounties","connorgriffiths","725034040587026432",NA,"2022"
"14","Gold Coast Sharks","LuluMcSnu","725076157854244864",NA,"2022"
"1","Toronto Hogs","Clovena","721099627511762944",NA,"2023"
"2","Bikini Bottom Stars","JGBillions","722626997460733952",NA,"2023"
"3","Newfoundland Blowers","bdwees","722632143850766208",NA,"2023"
"4","Thunder Bay Mustangs","SchueyG","724320234672025600",NA,"2023"
"5","Winnipeg Wranglers","RBusser51","724320706204078080",NA,"2023"
"6","Choccolocco Railfans","Srw74","720358712962772992",NA,"2023"
"7","Pokémon Omega Judge Judy","jche","724398438275444608",NA,"2023"
"8","Iqaluit Trout","fretbortner","724464389268324352",NA,"2023"
"9","Saskatoon Squirrels","tkern1221","724464913615015808",NA,"2023"
"10","Calgary Cocks","unknownSN16","724693368768159744",NA,"2023"
"11","Sarnia SeaSnakes","patgregory53","735268218012368896",NA,"2023"
"12","Mississauga Mastodons","Gibby2224","725029254722572160",NA,"2023"
"13","Vancouver Mounties","connorgriffiths","725034040587026432",NA,"2023"
"14","Gold Coast Sharks","LuluMcSnu","725076157854244864",NA,"2023"
"1","Toronto Hogs","Clovena","721099627511762944",NA,"2024"
"2","Bikini Bottom Stars","JGBillions","722626997460733952",NA,"2024"
"3","Newfoundland Blowers","bdwees","722632143850766208",NA,"2024"
"4","Thunder Bay Mustangs","SchueyG","724320234672025600",NA,"2024"
"5","Winnipeg Wranglers","RBusser51","724320706204078080",NA,"2024"
"6","Choccolocco Railfans","Srw74","720358712962772992",NA,"2024"
"7","Pokémon Omega Judge Judy","jche","724398438275444608",NA,"2024"
"8","Iqaluit Trout","fretbortner","724464389268324352",NA,"2024"
"9","New New York Benders ","jbarsa13","467050157607743424",NA,"2024"
"10","Lower City Lasercats","lowerthanaverage","986824474450288640",NA,"2024"
"11","Sarnia SeaSnakes","patgregory53","735268218012368896",NA,"2024"
"12","Mississauga Mastodons","Gibby2224","725029254722572160",NA,"2024"
"13","Vancouver Mounties","connorgriffiths","725034040587026432",NA,"2024"
"14","Gold Coast Sharks","LuluMcSnu","725076157854244864",NA,"2024"
"1","Toronto Hogs","Clovena","721099627511762944",NA,"2025"
"2","Bikini Bottom Stars","JGBillions","722626997460733952",NA,"2025"
"3","Newfoundland Blowers","bdwees","722632143850766336",NA,"2025"
"4","Thunder Bay Mustangs","SchueyG","724320234672025600",NA,"2025"
"5","Winnipeg Wranglers","RBusser51","724320706204078080",NA,"2025"
"6","Choccolocco Railfans","Srw74","720358712962772992",NA,"2025"
"7","Prince Edward Islanders","jche","724398438275444736",NA,"2025"
"8","Iqaluit Trout","fretbortner","724464389268324352",NA,"2025"
"9","New New York Benders ","jbarsa13","467050157607743488",NA,"2025"
"10","Lower City Lasercats","lowerthanaverage","986824474450288640",NA,"2025"
"11","Sarnia Seasnakes","patgregory53","735268218012368896",NA,"2025"
"12","Mississauga Mastodons","Gibby2224","725029254722572288",NA,"2025"
"13","Vancouver Mounties","connorgriffiths","725034040587026432",NA,"2025"
"14","Gold Coast Sharks","LuluMcSnu","725076157854244864",NA,"2025"
