"season","franchise_id","user_id","owner_name","abbrev","weeks_survived"
2023,6,986824474450288640,"Nathan","LOW",17
2023,11,725076157854244864,"Logan","SNO",16
2023,7,720358712962772992,"Sean","SRW",15
2023,12,688423592412643328,"Pat B","PBR",14
2023,9,721099627511762944,"Zac","ZJR",13
2023,10,467050157607743360,"Josh B","BRS",12
2023,1,722632143850766208,"Brendan","BDW",11
2023,2,724320706204078080,"Ryan","RYN",10
2023,4,735268218012368896,"Pat G","PAT",9
2023,8,724398438275444608,"Jared","CHE",8
2023,16,466048454678802432,"Anthony","GOO",7
2023,14,725034040587026432,"Connor","CNW",6
2023,5,724320234672025600,"Steven","EVO",5
2023,13,443120930818879360,"Dan","FLM",4
2023,3,722626997460733952,"Jacob G","JGB",3
2023,15,725029254722572160,"Gibby","GIB",2
2024,12,466048454678802432,"Anthony","GOO",15
2024,7,467050157607743360,"Josh B","BRS",14
2024,3,722632143850766208,"Brendan","BDW",13
2024,2,721099627511762944,"Zac","ZJR",12
2024,4,724320234672025600,"Steven","EVO",11
2024,5,725076157854244864,"Logan","SNO",10
2024,6,986824474450288640,"Nathan","LOW",9
2024,1,724320706204078080,"Ryan","RYN",8
2024,9,443120930818879360,"Dan","FLM",7
2024,11,724398438275444608,"Jared","CHE",6
2024,10,722626997460733952,"Jacob G","JGB",5
2024,14,725029254722572160,"Gibby","GIB",4
2024,13,989569454084296832,"Brad","BRD",3
2024,8,735268218012368896,"Pat G","PAT",2
2025,6,722626997460733952,"Jacob G","JGB",17
2025,12,466048454678802432,"Anthony","GOO",16
2025,17,933932196791025664,"Jake M","JAK",15
2025,9,724398438275444608,"Jared","CHE",14
2025,14,1249097211652886528,"Mark","JUB",13
2025,18,1250129170923532288,"Josh M","CHZ",12
2025,7,724320706204078080,"Ryan","RYN",11
2025,8,722632143850766208,"Brendan","BDW",10
2025,16,989569454084296832,"Brad","BRD",9
2025,10,725034040587026432,"Connor","CNW",8
2025,2,986824474450288640,"Nathan","LOW",7
2025,3,721099627511762944,"Zac","ZJR",6
2025,15,1249108057439354880,"Izzi","IZI",5
2025,1,467050157607743424,NA,NA,4
2025,4,443120930818879424,NA,NA,3
2025,11,725029254722572160,"Gibby","GIB",2
2025,13,1249056567068737536,"Lucas","LUC",1
2025,5,725076157854244864,"Logan","SNO",0
